"","party","fullname","count","score","score2","error","error2"
"993","grüne","Pia_Scholten",3965,-0.300424359499814,-0.396441789060463,0.0456289858062466,0.0444108126188665
"994","afd","Pierre_Lamely",8245,1.44669141088947,-0.37587583560333,0.0607499145944996,0.0286119480695827
"995","die linke","Britta_Pietsch",348,-0.434160320092625,-0.803497279222695,0.134491016772254,0.257411103412291
"996","grüne","Philip Alexander_Hiersemenzel",58223,-0.345446098285301,0.0186002450380639,0.0107980787280763,0.01115281355033
"997","die linke","Imke_Pirch",29,-0.203828057282721,-1.63577889911016,0.625470367447661,0.575309374391004
"998","grüne","Michael_Gwosdz",72501,-0.297293410470166,0.0638876618725739,0.00923398101260979,0.0105490066259302
"999","afd","Jürgen Hans_Pohl",3665,1.61756379253404,-0.361647593350336,0.0927883570259498,0.042648648061721
"1000","cdu","Claudia_Schmidtke",7693,-0.0665745206364302,0.791509061024904,0.024324074325045,0.0405447150686374
"1001","cdu","Patrick_Schnieder",12694,0.166756752095263,0.750664613215058,0.0218746741470212,0.029310901264872
"1002","fdp","Alexander_Meyer",19852,0.13500229995415,0.217738824542336,0.0212814296888983,0.0202267007354389
"1003","spd","Rainer Johannes_Keller",434,0.0504316646852053,0.185747984318218,0.136714171291217,0.0790540122628188
"1004","die linke","Rainer_Schaaf",56,-0.463060549926371,-0.705680456850071,0.276882679619533,0.249948775162563
"1005","fdp","Rainer_Semet",356,0.0831672802194943,0.440622237580864,0.147238344810275,0.19874946157761
"1006","spd","Ralf_Stegner",195398,-0.152708135763876,0.25862983757615,0.00543409094569543,0.00548923480953241
"1007","fdp","Ralf_Tiedemann",5076,0.0228848022548227,0.334772964377618,0.0426321055102191,0.0419088972424494
"1008","fdp","Ralph Albert_Lorenz",1330,0.13655730959258,0.451358623671379,0.0900482619474514,0.0873386932454642
"1009","fdp","Johannes_Schmidt Ramos",71,-0.31860577095683,1.0415839928059,0.102700750343949,0.107393737008133
"1010","fdp","Mathias_Schulte",183332,0.000932192158161253,0.404459505043429,0.00551438708209597,0.00713892912437188
"1011","spd","Rasha_Nasr",34648,-0.355070966408316,0.165665121713451,0.0140921045175784,0.0183678922864036
"1012","cdu","Ralph_Brinkhaus",28604,-0.0378553263531954,1.0910798895307,0.0130413254199692,0.0255782924973527
"1013","fdp","Daniel Rene_Bayer",1337,0.0731110871613209,0.304536761555807,0.070220034384566,0.0741309937982404
"1014","die linke","Tim_Steckbauer",4906,-0.048282176428366,-0.706537477622816,0.0469392918422573,0.051327453736679
"1015","die linke","Rebekka Maria_Kämpfe",148,-0.044917019334845,-1.43524895365379,0.478729574101008,0.466559255606826
"1016","spd","Reem_Alabali-Radovan",6721,-0.312599296411722,0.213022902029473,0.031130603040583,0.0379455936092818
"1017","spd","Rainer Michael_Müller",128511,-0.344393401302681,0.392531403958297,0.00532283126736998,0.00712209355115876
"1018","grüne","Annette_Reif",12514,-0.381372853648642,0.00280302673624656,0.0228203984336009,0.0212344651289737
"1019","csu","Reinhard_Brandl",868,-0.149978023333733,0.875702550556431,0.0571433147059157,0.142522431021163
"1020","fdp","Hagen_Reinhold",77377,0.0641399031671118,0.472174351679325,0.00898062704279929,0.0101748516950678
"1021","fdp","Renata_Alt",23856,0.0111962628427589,0.350919566459267,0.0153540612626582,0.0184503274094242
"1022","grüne","Renate Elly_Künast",124451,-0.24620426776164,0.0305792120660425,0.0076958232066971,0.00784692315526771
"1023","afd","René_Springer",24924,1.23809978929374,-0.31799128034866,0.0320092518205132,0.0174098724947011
"1024","grüne","Rene_Heesen",3475,-0.373518554446908,0.045383732382686,0.0386977970926452,0.0461038105750346
"1025","fdp","René_Hobusch",4779,-0.0270665161544893,0.272452165249158,0.0333448622887516,0.0379831260073171
"1026","spd","René_Petzold",94,-0.0554976239071634,-0.309641358734668,0.122462513643095,0.176755006468962
"1027","afd","Martin Erwin_Renner",136500,1.80799217133137,-0.441844053962609,0.0166492988768829,0.00692209619989684
"1028","grüne","Ralf_Reusch",95,-0.596439803534385,-0.0830090890958062,0.0644054160638625,0.242747043093217
"1029","fdp","Bernd_Reuther",10924,0.104464872406844,0.543771290134904,0.024552696424915,0.0265611273639189
"1030","fdp","Ria Irmtraut Claudia_Schröder",25536,-0.0905557793045711,0.318022213937771,0.0162824345413153,0.0194496088897507
